"ImageId","Label"
1,1
3,1
13,1
16,1
36,5
38,1
39,1
42,1
53,1
60,1
61,6
62,1
69,1
78,1
80,1
97,1
119,1
125,1
135,1
141,1
153,1
183,1
186,1
192,6
210,1
222,1
225,1
250,1
256,1
257,1
258,1
282,1
296,1
336,1
343,1
372,1
381,1
389,1
401,1
402,1
425,1
427,1
452,1
469,1
477,1
481,1
485,1
492,1
496,1
498,1
523,1
528,1
530,1
541,1
545,1
550,5
585,1
591,1
595,1
599,1
613,1
623,5
629,1
634,1
643,1
646,1
649,1
653,1
684,1
688,1
689,1
699,1
705,1
709,1
711,1
712,5
719,1
725,1
746,1
748,1
749,1
756,1
764,1
778,1
827,1
830,1
831,1
839,1
858,5
867,1
898,6
926,1
938,1
946,1
970,1
976,5
1001,1
1003,1
1014,1
1025,1
1028,1
1042,1
1045,1
1074,1
1076,1
1088,1
1107,1
1120,1
1146,1
1153,1
1171,1
1172,1
1182,1
1186,1
1193,1
1194,1
1210,1
1219,1
1222,5
1237,1
1246,5
1268,1
1269,1
1277,1
1291,1
1295,1
1303,1
1341,1
1348,1
1350,1
1362,1
1368,1
1374,1
1379,1
1381,1
1389,1
1399,1
1406,1
1410,1
1411,1
1412,1
1414,1
1416,1
1421,1
1423,1
1431,1
1434,1
1436,1
1447,1
1452,1
1459,1
1465,1
1472,1
1476,1
1480,1
1487,1
1497,1
1501,1
1504,1
1506,1
1520,1
1525,1
1529,1
1542,1
1548,5
1560,1
1571,1
1573,1
1613,1
1627,1
1636,1
1642,1
1643,1
1649,1
1650,1
1663,1
1666,1
1667,1
1672,5
1717,1
1737,1
1743,1
1744,1
1752,1
1756,6
1773,1
1774,1
1784,1
1792,1
1813,1
1836,1
1845,1
1846,1
1850,1
1851,1
1859,1
1862,1
1868,1
1873,1
1884,6
1889,1
1900,1
1909,1
1932,1
1943,1
1946,1
1965,1
1966,1
1967,1
1969,1
1973,1
1977,1
1978,1
1980,5
1981,1
1993,1
1995,1
2002,1
2006,1
2021,1
2024,5
2025,1
2034,1
2035,1
2051,1
2053,1
2060,1
2062,1
2074,1
2080,1
2083,1
2087,1
2100,1
2102,1
2107,1
2109,1
2110,1
2118,5
2121,1
2127,1
2170,1
2174,1
2191,5
2205,1
2207,1
2210,1
2216,1
2223,1
2231,5
2232,1
2239,6
2246,1
2248,1
2252,1
2257,1
2277,5
2281,1
2284,5
2285,6
2286,1
2293,1
2302,1
2313,1
2314,5
2317,1
2324,1
2339,1
2340,1
2341,5
2357,1
2363,5
2364,1
2365,1
2372,1
2374,1
2381,1
2409,5
2411,1
2430,1
2432,5
2475,1
2481,1
2483,1
2492,1
2494,5
2501,1
2518,1
2523,1
2550,1
2561,1
2583,1
2590,1
2592,1
2593,1
2598,5
2600,1
2611,1
2623,1
2638,1
2639,1
2652,1
2661,1
2664,1
2670,1
2677,1
2684,1
2697,1
2701,1
2715,5
2720,1
2722,1
2736,1
